 19 Sep 16                    2  OFFICIAL  STANDINGS                  
 CIRCUIT  : PEAVEY MART EAST TOUR
 INCLUDING: ESTEVAN, SK,                                                
 EXCLUDING:                                                             
EVENT|POS|CCA ID|NAME|LOCALE|POINTS
TR HEELER|16|3813C|GOMERSALL JIM-BOB|MOOSE JAW SK|50
TR HEELER|17|6933C|SMITH LAYNE|OAK LAKE, MB|50
TR HEELER|18|3724C|WILLIAMS KEVIN|GLENAVON, SK|45
TR HEELER|19|5495C|STEWART GRAHAM|DAVIN, SK|35
TR HEELER|20|6452C|OSTRANDER AJ|SWIFT CURRENT, SK|20
TR HEADER|1|6510C|MCLEOD TUFTIN|WALDECK, SK|180
TR HEADER|2|7296C|PATON TY|CARNDUFF, SK|155
TR HEADER|3|6738C|BROWNLEE CLAY|MOOSE JAW, SK|135
TR HEADER|4|5940C|WILLIAMS TRISTAN|GLENAVON, SK|130
TR HEADER|5|7297C|STUBER WYATT|REDCLIFF, AB|120
TR HEADER|6|7253C|MCLEOD TEE|WALDECK, SK|100
TR HEADER|7|5566C|CHAPPEL KYLE|GRAVELBOURG, SK |80
TR HEADER|8|3348|BROWN ORVILLE|LENORE MB|70
TR HEADER|9|7461|KELLY CODY|BRANDON, MB|70
TR HEADER|10|7373C|ELLIS ORRIN|IRON RIVER, AB|70
TR HEADER|11|6400C|SPENCER BART|CARNDUFF, SK |65
TR HEADER|12|1705C|MARCENKO ZANE|ROCKGLEN, SK|60
TR HEADER|13|5942C|SIGFUSSON SCOTT|DAVIDSON, SK|50
TR HEADER|14|6648C|HAYES WYATT|VAL MARIE, SK|50
TR HEADER|15|7532|MITCHELL COLE|OAK LAKE, MB|50
TR HEADER|16|3955C|DUNHAM BRUCE|INDIAN HEAD, SK|45
TR HEADER|17|2226C|LINTHICUM MURRAY|GLENTWORTH SK|45
TR HEADER|18|7096C|GEIS MARTIN|MOSSBANK, SK|45
TR HEADER|19|CP5489C|SCHMIDT ROBERT|YELLOW GRASS, SK |30
TR HEADER|20|5589C|BRICE SHOAT|PARRY, SK    |30
