OFFICIAL DRAW FOR YORKTON      
Performance: 1. Friday 4 @ 7:00PM
Performance: 2. Saturday 5 @ 7:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
STEER WRESTLING|5942C| 2. SIGFUSSON SCOTT (PERF # 1. Friday 4 @ 7:00PM)|DAVIDSON, SK|
STEER WRESTLING|J7436| 3. MCMAHON BRYCE (PERF # 1. Friday 4 @ 7:00PM)|INWOOD, MB|
STEER WRESTLING|R1138| 4. PETERS BUCK (PERF # 1. Friday 4 @ 7:00PM)|KCRA|
STEER WRESTLING|R10751C| 5. KNITTIG LORNE (PERF # 1. Friday 4 @ 7:00PM)|VANSCOY, SK|
STEER WRESTLING|6559C| 6. HARRIS SCOTT (PERF # 1. Friday 4 @ 7:00PM)|STONEWALL, MB|
STEER WRESTLING|M2762| 7. FAIRLIE EVERETT (PERF # 1. Friday 4 @ 7:00PM)|MRCA|
STEER WRESTLING|6278| 8. SPARROW JARED (PERF # 1. Friday 4 @ 7:00PM)|NORTH BATTLEFORD SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|M1981C| 1. BRIDGEMAN JUSTIN (PERF # 2. Saturday 5 @ 7:00PM)|BINSCARTH, MB|
STEER WRESTLING|5483C| 2. PORTER DEVON (PERF # 2. Saturday 5 @ 7:00PM)|SOLSGIRTH, MB|
STEER WRESTLING|2546C| 3. PETTYJOHN REX (PERF # 2. Saturday 5 @ 7:00PM)|GARLAND, MB |
STEER WRESTLING|7086C| 4. POTVIN ANTHONY (PERF # 2. Saturday 5 @ 7:00PM)|AUSTIN, MB|
STEER WRESTLING|J1705C| 5. MARCENKO ZANE (PERF # 2. Saturday 5 @ 7:00PM)|ROCKGLEN, SK|
STEER WRESTLING|J7203C| 6. LANG KELTON (PERF # 2. Saturday 5 @ 7:00PM)|CADILLAC, SK|
STEER WRESTLING|6645C| 7. KLOVANSKY KAL (PERF # 2. Saturday 5 @ 7:00PM)|QU'APPELLE, SK|
STEER WRESTLING|7202C| 8. LANG TONY (PERF # 2. Saturday 5 @ 7:00PM)|CADILLAC, SK|
STEER WRESTLING|5006C| 9. MORRIS IAN (PERF # 2. Saturday 5 @ 7:00PM)|FORT QU'APPELLE SK|
STEER WRESTLING|J1561C| 10. LOEPPKY TJ (PERF # 2. Saturday 5 @ 7:00PM)|CENTRAL BUTTE, SK|
STEER WRESTLING|7557| 11. ALLAN CLAY (PERF # 2. Saturday 5 @ 7:00PM)|BALMORAL, MB|
STEER WRESTLING|7264| 12. PETTYJOHN TY (PERF # 2. Saturday 5 @ 7:00PM)|GARLAND, MB|
STEER WRESTLING|5423C| 13. MORRIS REGAN (PERF # 2. Saturday 5 @ 7:00PM)|REGINA, SK   |
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|R11550| 1. PANA NICOLE (PERF # 1. Friday 4 @ 7:00PM)|CPRA|
LADIES BARREL RACING|L7277C| 2. MOFFATT SHERRI (PERF # 1. Friday 4 @ 7:00PM)|MOOSOMIN, SK|
LADIES BARREL RACING|L0571C| 3. MCDONALD JAMIE (PERF # 1. Friday 4 @ 7:00PM)|MELVILLE, SK|
LADIES BARREL RACING|J7286| 4. WOLOSHYN JESSENTA (PERF # 1. Friday 4 @ 7:00PM)|KUROKI, SK|
LADIES BARREL RACING|J1598C| 5. MCCANNELL HALLIE (PERF # 1. Friday 4 @ 7:00PM)|CARIEVALE, SK|
LADIES BARREL RACING|L7554| 6. DALLAIRE REBECCA (PERF # 1. Friday 4 @ 7:00PM)|GLENAVON, SK|
LADIES BARREL RACING|J7440| 7. WEBER CASSIDY (PERF # 1. Friday 4 @ 7:00PM)|WEYBURN, SK|
LADIES BARREL RACING|L6390C| 8. ZUNTI TWILA (PERF # 1. Friday 4 @ 7:00PM)|UNITY, SK|
LADIES BARREL RACING|J7552| 9. GLAICAR JULIE (PERF # 1. Friday 4 @ 7:00PM)|WALDRON, SK|
LADIES BARREL RACING|J7439| 10. WEBER ASHLEY (PERF # 1. Friday 4 @ 7:00PM)|WEYBURN, SK|
LADIES BARREL RACING|L5545C| 11. GRAD KRYSTAL  (PERF # 1. Friday 4 @ 7:00PM)|GRAVELBOURG, SK  |
LADIES BARREL RACING|M1609C| 12. HANSON ADRIENNE (PERF # 1. Friday 4 @ 7:00PM)|MRCA|
LADIES BARREL RACING|R130114| 13. BOWDITCH CARLIE (PERF # 1. Friday 4 @ 7:00PM)|SYLVANIA, SK|
LADIES BARREL RACING|M2438| 14. ROWE MCKENZIE (PERF # 1. Friday 4 @ 7:00PM)|GOODLANDS, MB|
LADIES BARREL RACING|LOC6755| 15. MCNABB JESSE (PERF # 1. Friday 4 @ 7:00PM)||
LADIES BARREL RACING|LOC6754| 16. BURNS JEN (PERF # 1. Friday 4 @ 7:00PM)||
LADIES BARREL RACING|J1549C| 17. BOWDITCH AMY (PERF # 1. Friday 4 @ 7:00PM)|SYLVANIA, SK|
LADIES BARREL RACING|M1200C| 18. ROOKES JACQUELINE (PERF # 1. Friday 4 @ 7:00PM)|MRCA|
LADIES BARREL RACING|J1601C| 19. PETERS BLISS (PERF # 1. Friday 4 @ 7:00PM)|BIGGAR, SK|
