OFFICIAL DRAW FOR ESTON
Performance: 1. Friday 3 @ 6:00PM
Performance: 2. Saturday 4 @ 6:00PM
Performance: 3. Saturday 4 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
TIE DOWN ROPING|6661C| 9. FINNERTY DANNY (PERF # 2)|DUCHESS, AB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5942C| 1. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|5020C| 2. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|5866C| 3. MOEBIS TREVOR (PERF # 3)|SEVEN PERSONS, AB|
TIE DOWN ROPING|7514| 4. DYCK STRAN (PERF # 3)|MEDICINE HAT, AB|
TIE DOWN ROPING|C6915C| 5. HUGHSON CLARK (PERF # 3)|CRA|
TIE DOWN ROPING|C8044C| 6. HEATON DAVE (PERF # 3)|CRA|
TIE DOWN ROPING|C7132C| 7. WILLIAMSON BLAKE (PERF # 3)|CRA|
TIE DOWN ROPING|4050C| 8. MOEN AARON (PERF # 3)|STEWART VALLEY  SK|
TIE DOWN ROPING|2007C| 9. SWITZER BLAINE (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|6293C| 10. WALBURGER ROSS (PERF # 3)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5298C| 11. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|7430C| 12. ANDERSON MACLIN (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|5019C| 13. GETZ CODY (PERF # 3)|BALGONIE, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|6736| 1. SHUCKBURGH RYAN (PERF # 1)|INNISFAIL, AB|
STEER WRESTLING|6505C| 2. ELLIS TY (PERF # 1)|SONNINGDALE, SK|
STEER WRESTLING|7520| 3. CLARY MATTHEW (PERF # 1)|SPRUCE GROVE, AB|
STEER WRESTLING|7390C| 4. LANIGAN KLAY (PERF # 1)|STRATHMORE, AB|
STEER WRESTLING|3956C| 5. HARDEN JEREMY  (PERF # 1)|CASTOR, AB|
STEER WRESTLING|5328C| 6. HARDEN JOSH (PERF # 1)|BIG VALLEY, AB|
STEER WRESTLING|3636C| 7. MCPHEE BRIAN (PERF # 1)|HANLEY SK|
STEER WRESTLING|7510| 8. WARD TYRELL (PERF # 1)|THREE HILLS, AB|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|6101C| 1. TRAUTMAN MICHAEL (PERF # 2)|LETHBRIDGE AB|
STEER WRESTLING|R328140C| 2. WALKER DUSTIN (PERF # 2)|CPRA|
STEER WRESTLING|R11366| 3. GUZE JOSEPH (PERF # 2)|CPRA|
STEER WRESTLING|6596C| 4. KURTZ JUSTIN (PERF # 2)|COALDALE, AB|
STEER WRESTLING|R26918| 5. WOODWARD TODD (PERF # 2)|CPRA|
STEER WRESTLING|R30699C| 6. CASSIDY CODY (PERF # 2)|DONALDA, AB|
STEER WRESTLING|R11593| 7. HAYES RILEY (PERF # 2)|CPRA|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|5860C| 1. STORY GARETT  (PERF # 3)|NETHERHILL SK|
STEER WRESTLING|5957C| 2. HANTELMAN CHAD (PERF # 3)|KYLE, SK|
STEER WRESTLING|1705C| 3. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
STEER WRESTLING|R10751C| 4. KNITTIG LORNE (PERF # 3)|CPRA|
STEER WRESTLING|5942C| 5. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
STEER WRESTLING|7419| 6. WHEELER GEORGE (PERF # 3)|DAVIDSON SK|
STEER WRESTLING|6645C| 7. KLOVANSKY KAL (PERF # 3)|QU'APPELLE, SK|
STEER WRESTLING|R329492| 8. WILLICK TY (PERF # 3)|CPRA|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7129C| 1. KIELSTRA CHRISSY (PERF # 1)|BURDETT, AB|TIMER DUTIES
LADIES BARREL RACING|L5584C| 2. SWITZER BARBARA (PERF # 1)|HAZENMORE, SK|BARREL REP, TIMER DUTIES
LADIES BARREL RACING|C394C| 3. SMITH DANA (PERF # 1)|CRA|
LADIES BARREL RACING|L6730C| 4. SCHUURMAN TAMMY (PERF # 1)|DIAMOND CITY, AB|
LADIES BARREL RACING|L7344C| 5. SCHUURMAN WHITTNY (PERF # 1)|DIAMOND CITY, AB|
LADIES BARREL RACING|L7450C| 6. ELLIS KATELYN (PERF # 1)|SONNINGDALE, SK|
LADIES BARREL RACING|L6483C| 7. KELLER ROBBI (PERF # 1)|ROCKGLEN, SK |
LADIES BARREL RACING|L7421C| 8. ROOD MEAGHAN (PERF # 1)|BENGOUGH, SK|
LADIES BARREL RACING|L6731C| 9. SCHUURMAN BRITTNY (PERF # 1)|DEL BONITA, AB|
LADIES BARREL RACING|J7299C| 10. WALDNER MEGAN (PERF # 1)|BOWLSLAND, AB|TIMER DUTIES
LADIES BARREL RACING|L7442C| 11. SMITH KAILEE (PERF # 1)|WAINWRIGHT, AB|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L5402C| 1. HOOVER JACQUELINE (PERF # 2)|VANSCOY, SK |TIMER DUTIES
LADIES BARREL RACING|L5955C| 2. GROVES LISA (PERF # 2)|CZAR, AB|TIMER DUTIES
LADIES BARREL RACING|L7513| 3. LAWRENCE CHRISTA (PERF # 2)|MAPLE CREEK, SK|
LADIES BARREL RACING|L6663C| 4. SCHNITZLER RENIE (PERF # 2)|VANSCOY, SK|
LADIES BARREL RACING|L6374C| 5. MASTAD ANGELA (PERF # 2)|PLEASANTDALE, SK|
LADIES BARREL RACING|L7083C| 6. PETERS SAMANTHA (PERF # 2)|PLUMAS MB|
LADIES BARREL RACING|L7459| 7. DANCY NANCY (PERF # 2)|RAPID VIEW, SK|
LADIES BARREL RACING|L7303C| 8. POLETZ LIANE (PERF # 2)|DUCHESS, AB|
LADIES BARREL RACING|L6820C| 9. STOKES LAURA (PERF # 2)|AUSTIN, MB|TIMER DUTIES
LADIES BARREL RACING|L7487| 10. CAMPBELL ASHLYN (PERF # 2)|OLDS, AB|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L5498C| 1. GETZ JENNIFER (PERF # 3)|BALGONIE, SK        |TIMER DUTIES
LADIES BARREL RACING|C8042C| 2. MUNRO AUREA (PERF # 3)|CRA|TIMER DUTIES
LADIES BARREL RACING|P7434C| 3. WESTON WHITNEY (PERF # 3)|CARDSTON, AB|
LADIES BARREL RACING|C5596C| 4. PANCOAST JODY (PERF # 3)|CRA|
LADIES BARREL RACING|L6382| 5. WILSON JOCELYN (PERF # 3)|MAPLE CREEK, SK|
LADIES BARREL RACING|L7278C| 6. CROSSLEY JACEY (PERF # 3)|MOOSOMIN, SK|
LADIES BARREL RACING|L6830C| 7. HANSON ALEX (PERF # 3)|MEDICINE HAT, AB|
LADIES BARREL RACING|L7432| 8. NAYLEN NANCY (PERF # 3)|MARYFIELD, SK|
LADIES BARREL RACING|L7426C| 9. COOPER MAGGY (PERF # 3)|MAPLE CREEK, SK|
LADIES BARREL RACING|L7466| 10. SKOCDOPOLE DIANE (PERF # 3)|BIG VALLEY, AB|
LADIES BARREL RACING|LOC6509| 11. COLE KELSEY (PERF # 3)|EST|
LADIES BARREL RACING|L5110C| 12. MOEN JANET-LYNN (PERF # 3)|STEWART VALLEY, SK|
LADIES BARREL RACING|L7427| 13. YARSHENKO MARDI (PERF # 3)|MAPLE CREEK SK|
LADIES BARREL RACING|L6536C| 14. KNITTIG LAURA  (PERF # 3)|VANSCOY, SK|
LADIES BARREL RACING|C2805C| 15. AMON KASONDRA (PERF # 3)|TABER, AB|
