OFFICIAL DRAW FOR GILBERT PLAINS, MB
Performance: 1. Saturday 9 @ 7:00PM
Performance: 2. Sunday 10 @ 5:00PM
Performance: 3. Sunday 10 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
LADIES BARREL RACING|L6820C| 2. STOKES LAURA (PERF # 2)|AUSTIN, MB|TIMER DUTIES
LADIES BARREL RACING|L5293C| 3. DENBROK TRACI  (PERF # 2)|ESTERHAZY, SK|
LADIES BARREL RACING|M2757C| 4. POTVIN JENNA (PERF # 2)|MRCA|
LADIES BARREL RACING|L7129C| 5. KIELSTRA CHRISSY (PERF # 2)|BURDETT, AB|
LADIES BARREL RACING|J1677C| 6. HICKS LEXI (PERF # 2)|MORTLACH SK|
LADIES BARREL RACING|P6479| 7. BEAR SHASTA (PERF # 2)|WHITEWOOD, SK|
LADIES BARREL RACING|L7416| 8. WILEY BRITTANY (PERF # 2)|MANOR, SK|
LADIES BARREL RACING|L0571| 9. MCDONALD JAMIE (PERF # 2)|MELVILLE, SK|
LADIES BARREL RACING|L5825C| 10. PORTER AMANDA  (PERF # 2)|SOLSGIRTH, MB|
LADIES BARREL RACING|L6807C| 11. LANZ KARLY (PERF # 2)|CARIEVALE, SK|TIMER DUTIES
LADIES BARREL RACING|M2802C| 12. YOUNG BECKY (PERF # 2)|MRCA|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7509| 1. MILLARD TANA (PERF # 3)|RED DEER COUNTY, AB|TIMER DUTIES
LADIES BARREL RACING|M2742C| 2. ELLISON MEGAN (PERF # 3)|REDVERS, SK|TIMER DUTIES
LADIES BARREL RACING|L7343C| 3. COLLEN ANN (PERF # 3)|VIRDEN, MB|
LADIES BARREL RACING|L6830C| 4. HANSON ALEX (PERF # 3)|MEDICINE HAT, AB|
LADIES BARREL RACING|L5497C| 5. SWITZER BAILEE (PERF # 3)|ANEROID, SK|
LADIES BARREL RACING|M1200C| 6. ROOKES JACQUELINE (PERF # 3)|MRCA|
LADIES BARREL RACING|L7277C| 7. MOFFATT SHERRI (PERF # 3)|MOOSOMIN, SK|
LADIES BARREL RACING|L6663C| 8. SCHNITZLER RENIE (PERF # 3)|VANSCOY, SK|
LADIES BARREL RACING|M1924C| 9. MCCANNELL BAILEY (PERF # 3)|MRCA|
LADIES BARREL RACING|L7421C| 10. ROOD MEAGHAN (PERF # 3)|BENGOUGH, SK|
LADIES BARREL RACING|M2885| 11. BROWN ROBYN (PERF # 3)|MRCA|
LADIES BARREL RACING|M1289C| 12. DAVEY MICHELLE (PERF # 3)|MRCA|
LADIES BARREL RACING|L7463| 13. BUNNEY JENN (PERF # 3)|BYEMOOR, AB|
LADIES BARREL RACING|L3858C| 14. KMITA NICOLE (PERF # 3)|WEYBURN, SK|
LADIES BARREL RACING|M1834C| 15. MCCANNELL SHAYNA (PERF # 3)|MRCA|
LADIES BARREL RACING|M2465C| 16. EDWARDS MEGAN (PERF # 3)|MRCA|
LADIES BARREL RACING|L7278C| 17. CROSSLEY JACEY (PERF # 3)|MOOSOMIN, SK|
LADIES BARREL RACING|L7083C| 18. PETERS SAMANTHA (PERF # 3)|PLUMAS MB|
LADIES BARREL RACING|M755C| 19. ROSS SHERRI (PERF # 3)|MRCA|
LADIES BARREL RACING|M2817C| 20. BATES JESSIE (PERF # 3)|MRCA|
LADIES BARREL RACING|L5545C| 21. GRAD KRYSTAL  (PERF # 3)|GRAVELBOURG, SK  |
LADIES BARREL RACING|L7465| 22. GOMPF KYLIE (PERF # 3)|OAK LAKE, MB|
LADIES BARREL RACING|L6390C| 23. ZUNTI TWILA (PERF # 3)|UNITY, SK|
LADIES BARREL RACING|J1598C| 24. MCCANNELL HALLIE (PERF # 3)|CARIEVALE, SK|
LADIES BARREL RACING|M1714C| 25. HAGAN ERIN (PERF # 3)|VIRDEN MB|
LADIES BARREL RACING|L5498C| 26. GETZ JENNIFER (PERF # 3)|BALGONIE, SK        |TIMER DUTIES
LADIES BARREL RACING|L7447| 27. FROESE TORIE (PERF # 3)|BIENFAIT, SK|TIMER DUTIES
TEAM ROPING||PERFORMANCE: 1||
TEAM ROPING|| ||
TEAM ROPING|5589C| 1. BRICE SHOAT(H) (PERF # 1)|PARRY, SK    |
TEAM ROPING|5495C|    STEWART GRAHAM(F) (PERF # 1)|DAVIN, SK|
TEAM ROPING|5426C| 2. CROMARTY DUSTIN(H) (PERF # 1)|REGINA, SK|
TEAM ROPING|7263C|    HANNA RYAN(F) (PERF # 1)|PILOT BUTTE, SK|
TEAM ROPING|7408C| 3. SWITZER CHANSE(F) (PERF # 1)|HAZENMORE, SK|
TEAM ROPING|3812C|    SWITZER BEN(H) (PERF # 1)|HAZENMORE SK|
TEAM ROPING||PERFORMANCE: 2||
TEAM ROPING|| ||
TEAM ROPING|M2721J| 1. SALMON TYSON(F) (PERF # 2)|STONEWALL, MB|
TEAM ROPING|M2566C|    STEWART TY (H) (PERF # 2)|KOLA, MB|
TEAM ROPING|7413C| 2. HULSTON RYAN(H) (PERF # 2)|MELVILLE, SK|
TEAM ROPING|J7406C|    HULSTON COLTON(F) (PERF # 2)|MELVILLE, SK|
TEAM ROPING|7532| 3. MITCHELL COLE(H) (PERF # 2)|OAK LAKE, MB|
TEAM ROPING|6933C|    SMITH LAYNE(F) (PERF # 2)|OAK LAKE, MB|
TEAM ROPING|5462| 4. LEEPART MIKE(F) (PERF # 2)|BRANDON, MB|
TEAM ROPING|3356|    STILES CHAD(H) (PERF # 2)|BRANDON, MB|
TEAM ROPING|7283C| 5. HICKS TYRELL(H) (PERF # 2)|MORTLACH, SK|
TEAM ROPING|7500|    FLORES ROBERT(F) (PERF # 2)|MORTLACH, SK|
TEAM ROPING|3948C| 6. BEVAN CAREY(F) (PERF # 2)|CARIEVALE SK|
TEAM ROPING|L6807C|    LANZ KARLY(H) (PERF # 2)|CARIEVALE, SK|
TEAM ROPING|6835C| 7. BROWN ORY(F) (PERF # 2)|LENORE, MB|
TEAM ROPING|3348|    BROWN ORVILLE(H) (PERF # 2)|LENORE MB|
TEAM ROPING|5643C| 8. SWITZER MATT(F) (PERF # 2)|YORKTON, SK      |
TEAM ROPING|5940C|    WILLIAMS TRISTAN(H) (PERF # 2)|GLENAVON, SK|
TEAM ROPING|3955C| 9. DUNHAM BRUCE(H) (PERF # 2)|INDIAN HEAD, SK|
TEAM ROPING|3724C|    WILLIAMS KEVIN(F) (PERF # 2)|GLENAVON, SK|
TEAM ROPING|6738C| 10. BROWNLEE CLAY(H) (PERF # 2)|MOOSE JAW, SK|
TEAM ROPING|6809C|    OLSON BRETT A(F) (PERF # 2)|SOUTHEY, SK|
TEAM ROPING|7417| 11. WILEY BILLY(F) (PERF # 2)|MANOR, SK|
TEAM ROPING|7431|    NAYLEN GREG(H) (PERF # 2)|MARYFIELD, SK|
TEAM ROPING|5483C| 12. PORTER DEVON(F) (PERF # 2)|SOLSGIRTH, MB|
TEAM ROPING|1705C|    MARCENKO ZANE(H) (PERF # 2)|ROCKGLEN, SK|
TEAM ROPING||PERFORMANCE: 3||
TEAM ROPING|| ||
TEAM ROPING|M2380C| 1. SPENCER BART(H) (PERF # 3)|MRCA|
TEAM ROPING|5421|    GAUBE BRETT(F) (PERF # 3)|WEYBURN, SK|
TEAM ROPING|M1321C| 2. BROWN SHANE(H) (PERF # 3)|VIRDEN MB|
TEAM ROPING|M1320C|    BROWN LONNIE(F) (PERF # 3)|VIRDEN, MB|
TEAM ROPING|6545C| 3. LEHMANN ASHTON(F) (PERF # 3)|MAYFAIR, SK|
TEAM ROPING|7373C|    ELLIS ORRIN(H) (PERF # 3)|IRON RIVER, AB|
TEAM ROPING|7383C| 4. KELLY CLINT(F) (PERF # 3)|BRANDON, MB|
TEAM ROPING|7461|    KELLY CODY(H) (PERF # 3)|BRANDON, MB|
TEAM ROPING|7144C| 5. HAY SKYLAR(H) (PERF # 3)|POPLAR POINT, MB|
TEAM ROPING|M2621C|    HAY RILEY(F) (PERF # 3)|MRCA|
TEAM ROPING|5020C| 6. GETZ TYLER(F) (PERF # 3)|LUCKY LAKE, SK|
TEAM ROPING|2007C|    SWITZER BLAINE(H) (PERF # 3)|SWIFT CURRENT SK|
TEAM ROPING|M2800| 7. CORNELSON AUSTIN(H) (PERF # 3)|MRCA|
TEAM ROPING|M200C|    HAY CURTIS(F) (PERF # 3)|MRCA|
TEAM ROPING|LOC6598| 8. FAWNS BRADY(F) (PERF # 3)|GPL|
TEAM ROPING|J7515|    FAWNS GRACIE(H) (PERF # 3)|GILBERT PLAINS, MB|
TEAM ROPING|M1210C| 9. HAGAN ALISTAIR(H) (PERF # 3)|VIRDEN MB|
TEAM ROPING|M1981C|    BRIDGEMAN JUSTIN(F) (PERF # 3)|BINSCARTH, MB|
TEAM ROPING|5950C| 10. ROSS JEREMY(H) (PERF # 3)|ESTEVAN, SK|
TEAM ROPING|5592C|    BROWN LANCE(F) (PERF # 3)|VIRDEN, MB|
TEAM ROPING|M2046C| 11. PLETT CHAD(F) (PERF # 3)|MRCA|
TEAM ROPING|M2779C|    MCPHERSON KOLT(H) (PERF # 3)|MRCA|
TEAM ROPING|M2888C| 12. FREDBJORNSON ZANE(F) (PERF # 3)|MRCA|
TEAM ROPING|M2559C|    LEE AARON(H) (PERF # 3)|MRCA|
TEAM ROPING|7296C| 13. PATON TY(H) (PERF # 3)|CARNDUFF, SK|
TEAM ROPING|6670C|    RUTTEN TANNER(F) (PERF # 3)|REDVERS, SK|
TEAM ROPING|6822C| 14. DUBEAU JUSTIN(F) (PERF # 3)|REDCLIFF AB|
TEAM ROPING|6831C|    WUDRICH TAYLOR(H) (PERF # 3)|BOW ISLAND, AB|
TEAM ROPING|M1390C| 15. MORAN MURRAY(F) (PERF # 3)|MRCA|
TEAM ROPING|1683|    MILLER NEIL (H) (PERF # 3)|NEEPAWA, MB|
TEAM ROPING|3880C| 16. KMITA TYLER(F) (PERF # 3)|WEYBURN SK|
TEAM ROPING|5640C|    MCCANNELL KEVIN(H) (PERF # 3)|CARIEVALE, SK|
JUNIOR STEER RIDING||PERFORMANCE: 1||
JUNIOR STEER RIDING|| ||
JUNIOR STEER RIDING|J7423| 1. MITCHELL TYLER (PERF # 1)|BOW ISLAND, AB|G001 
JUNIOR STEER RIDING|J7314C| 2. SKENE TYLER (PERF # 1)|PRINCE ALBERT, SK|G002 
JUNIOR STEER RIDING|J6941C| 3. KORNFELD COLT (PERF # 1)|VAL MARIE, SK|G003 
JUNIOR STEER RIDING|J1670C| 4. COLLINESS JUD (PERF # 1)|KINCAID, SK|G004 
JUNIOR STEER RIDING|J7327C| 5. MURPHY TY (PERF # 1)|MAPLE CREEK, SK|G005 
JUNIOR STEER RIDING|J7326C| 6. MURPHY KANE (PERF # 1)|MAPLE CREEK, SK|G006 
JUNIOR STEER RIDING||PERFORMANCE: 2||
JUNIOR STEER RIDING|| ||
JUNIOR STEER RIDING|J7477| 1. FITZPATRICK CODY (PERF # 2)|GLEN EWEN, SK|G007 
JUNIOR STEER RIDING|J7517| 2. MCDONALD KADE (PERF # 2)|MELVILLE, SK|G008 
JUNIOR STEER RIDING|J7285C| 3. OZIRNEY JADEN (PERF # 2)|GRENFELL, SK|G009 
JUNIOR STEER RIDING|J7119C| 4. BARROWS WILLIAM (PERF # 2)|FOREMOST AB|G010 
JUNIOR STEER RIDING|J7493| 5. HUGHSON QUADE (PERF # 2)|FOREMOST, AB|G011 
JUNIOR STEER RIDING|J7037C| 6. SMITH BLAKE (PERF # 2)|ABBEY, SK|G012 
JUNIOR STEER RIDING|M2741JC| 7. WHEELANS COLBY (PERF # 2)|RESTON, MB|G013 
JUNIOR STEER RIDING|M2880| 8. TORGERSON DAWSON (PERF # 2)|MRCA|G014 
JUNIOR STEER RIDING|J7275C| 9. SCHELLER TATYM (PERF # 2)|MAPLE CREEK, SK|G015 
JUNIOR STEER RIDING||PERFORMANCE: 3||
JUNIOR STEER RIDING|| ||
JUNIOR STEER RIDING|J7537| 1. KMITA KEGAN (PERF # 3)|WEYBURN, SK|G016 
JUNIOR STEER RIDING|J6940C| 2. KMITA KOBE (PERF # 3)|WEYBURN, SK|G017 
JUNIOR GIRLS BARREL RACING||PERFORMANCE: 1||
JUNIOR GIRLS BARREL RACING|| ||
JUNIOR GIRLS BARREL RACING|J7351C| 1. MASTAD LILA (PERF # 1)|PLEASANTDALE, SK|
JUNIOR GIRLS BARREL RACING|J7350C| 2. MASTAD IVY (PERF # 1)|PLEASANTDALE, SK|
JUNIOR GIRLS BARREL RACING|J7468| 3. MURPHY SYDNEY (PERF # 1)|MAPLE CREEK, SK|
JUNIOR GIRLS BARREL RACING|J7381C| 4. WINDJACK SYDNEY (PERF # 1)|MAPLE CREEK, SK|
JUNIOR GIRLS BARREL RACING||PERFORMANCE: 2||
JUNIOR GIRLS BARREL RACING|| ||
JUNIOR GIRLS BARREL RACING|J7425| 1. LOCKIE LARAMIE (PERF # 2)|WASKADA, MB|
JUNIOR GIRLS BARREL RACING|J7424| 2. LOCKIE MELAYNA (PERF # 2)|WASKADA, MB|
JUNIOR GIRLS BARREL RACING|J1193C| 3. GORDON CASSIDY (PERF # 2)|MAPLE CREEK, SK|
JUNIOR GIRLS BARREL RACING|J7128C| 4. KIELSTRA ALLY (PERF # 2)|BURDETT, AB|
JUNIOR GIRLS BARREL RACING||PERFORMANCE: 3||
JUNIOR GIRLS BARREL RACING|| ||
JUNIOR GIRLS BARREL RACING|J7538| 1. KMITA TYRA (PERF # 3)|WEYBURN, SK|
JUNIOR GIRLS BARREL RACING|J1599C| 2. MCCANNELL HANNAH (PERF # 3)|CARIEVALE, SK |
JUNIOR GIRLS BARREL RACING|J7079C| 3. COWIE KARLI (PERF # 3)|MANKOTA, SK|
JUNIOR GIRLS BARREL RACING|J7515| 4. FAWNS GRACIE (PERF # 3)|GILBERT PLAINS, MB|
JUNIOR GIRLS BARREL RACING|M2900J| 5. PEAKE CASSIE (PERF # 3)|MRCA|
JUNIOR GIRLS BARREL RACING|J7441| 6. PLETT LEANNE (PERF # 3)|GRUNTHAL, MB|
JUNIOR GIRLS BARREL RACING|M2879| 7. COLLEN ABBY (PERF # 3)|MRCA|
JUNIOR GIRLS BARREL RACING|M2838| 8. KEELEY GRACE (PERF # 3)|MRCA|
JUNIOR GIRLS BARREL RACING|M2839| 9. KEELEY JILLIAN (PERF # 3)|MRCA|
JUNIOR GIRLS BARREL RACING|M2520JC| 10. ROSS SHELBY (PERF # 3)|MRCA|
JUNIOR GIRLS BARREL RACING|M2887J| 11. FAWNS CHLOEE (PERF # 3)|MRCA|
