OFFICIAL DRAW FOR COUTTS, AB
Performance: 1. Saturday 18 @ 
Performance: 2. Sunday 19 @ 1:00PM
Performance: 3. Saturday 18 @ 
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
TIE DOWN ROPING|C6915C| 6. HUGHSON CLARK (PERF # 2)|CRA|
TIE DOWN ROPING|C2511C| 7. CREASY KELLY (PERF # 2)|MEDICINE HAT, AB|
TIE DOWN ROPING|7280C| 8. WRIGHT TYSON (PERF # 2)|LETHBRIDGE, AB|
TIE DOWN ROPING|5866C| 9. MOEBIS TREVOR (PERF # 2)|SEVEN PERSONS, AB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|C2016C| 1. SLOT KEVIN (PERF # 3)|COU|
TIE DOWN ROPING|7362C| 2. LYNCH CRAIG (PERF # 3)|BOTHA, AB|
TIE DOWN ROPING|6539C| 3. NEITZ MARK (PERF # 3)|STETTLER, AB|
TIE DOWN ROPING|7472| 4. JOHNSON DAWSON (PERF # 3)|STRATHMORE, AB|
TIE DOWN ROPING|6815C| 5. DAVIDSON JB (PERF # 3)|RIMBEY, AB|
TIE DOWN ROPING|7438| 6. GULICK CHAD (PERF # 3)|WETASKIWIN, AB|
TIE DOWN ROPING|7049C| 7. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|5311C| 8. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|5020C| 9. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|5942C| 10. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|6857C| 11. MCLEOD TYCE (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|6510C| 12. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|7430C| 13. ANDERSON MACLIN (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|6293C| 14. WALBURGER ROSS (PERF # 3)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|5298C| 15. FOLK KEITH (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|R323978| 16. FINNERTY JESSE (PERF # 3)|CPRA|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|C8054| 1. SAGRAFENA NEIL (PERF # 1)|CRA|
STEER WRESTLING|C5572C| 2. LONSBURY SHAUN (PERF # 1)|CRA|
STEER WRESTLING|R11366| 3. GUZE JOSEPH (PERF # 1)|CPRA|
STEER WRESTLING|R11593| 4. HAYES RILEY (PERF # 1)|CPRA|
STEER WRESTLING|C6956C| 5. MINUE ARLAN (PERF # 1)|CRA|
STEER WRESTLING|6101C| 6. TRAUTMAN MICHAEL (PERF # 1)|LETHBRIDGE AB|
STEER WRESTLING|C6993| 7. KLATT MATT (PERF # 1)|CRA|
STEER WRESTLING|6596C| 8. KURTZ JUSTIN (PERF # 1)|COALDALE, AB|
STEER WRESTLING|6685C| 9. NEWTON BLAKE (PERF # 1)|DEL BONITA, AB|
STEER WRESTLING|5860C| 10. STORY GARETT  (PERF # 1)|NETHERHILL SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|C2332C| 1. HEGGIE JEFF (PERF # 2)|CARDSTON AB|
STEER WRESTLING|CP3960C| 2. RESCH WAYNE (PERF # 2)|MAPLE CREEK, SK|
STEER WRESTLING|C7042C| 3. EAGLEBEAR DAX (PERF # 2)|CRA|
STEER WRESTLING|R28371| 4. MCINTYRE DEAN (PERF # 2)|CPRA|
STEER WRESTLING|R331765| 5. LILLYMAN CASEY (PERF # 2)|CPRA|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|5328C| 1. HARDEN JOSH (PERF # 3)|BIG VALLEY, AB|
STEER WRESTLING|3956C| 2. HARDEN JEREMY  (PERF # 3)|CASTOR, AB|
STEER WRESTLING|1561C| 3. LOEPPKY TJ (PERF # 3)|CENTRAL BUTTE, SK|
STEER WRESTLING|7419| 4. WHEELER GEORGE (PERF # 3)|DAVIDSON SK|
STEER WRESTLING|6645C| 5. KLOVANSKY KAL (PERF # 3)|QU'APPELLE, SK|
STEER WRESTLING|5942C| 6. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
STEER WRESTLING|7253C| 7. MCLEOD TEE (PERF # 3)|WALDECK, SK|
STEER WRESTLING|5957C| 8. HANTELMAN CHAD (PERF # 3)|KYLE, SK|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|J1677C| 1. HICKS LEXI (PERF # 1)|MORTLACH SK|TIMER DUTIES
LADIES BARREL RACING|L7416| 2. WILEY BRITTANY (PERF # 1)|MANOR, SK|TIMER DUTIES
LADIES BARREL RACING|L6382| 3. WILSON JOCELYN (PERF # 1)|MAPLE CREEK, SK|
LADIES BARREL RACING|C6470C| 4. DOLGOPOL KEYLEE (PERF # 1)|CRA|
LADIES BARREL RACING|L6730C| 5. SCHUURMAN TAMMY (PERF # 1)|DIAMOND CITY, AB|
LADIES BARREL RACING|L7344C| 6. SCHUURMAN WHITTNY (PERF # 1)|DIAMOND CITY, AB|
LADIES BARREL RACING|L7334C| 7. VANHAL DAWN (PERF # 1)|SCANDIA, AB|
LADIES BARREL RACING|L7322C| 8. GLASRUD HALEY (PERF # 1)|SHAUNAVON, SK|
LADIES BARREL RACING|L6839C| 9. WILSON JAYDEN (PERF # 1)|GLEICHEN, AB|
LADIES BARREL RACING|L6880C| 10. WILSON MARCI (PERF # 1)|GLEICHEN, AB|
LADIES BARREL RACING|L6731C| 11. SCHUURMAN BRITTNY (PERF # 1)|DEL BONITA, AB|
LADIES BARREL RACING|L7442C| 12. SMITH KAILEE (PERF # 1)|WAINWRIGHT, AB|
LADIES BARREL RACING|C6998C| 13. ODNEY JORDI (PERF # 1)|CRA|
LADIES BARREL RACING|C7027C| 14. KURTZ MEGAN (PERF # 1)|CRA|
LADIES BARREL RACING|C267C| 15. PEROZAK ROSE (PERF # 1)|CRA|
LADIES BARREL RACING|C6122C| 16. O'DONNELL BAILEY (PERF # 1)|CRA|TIMER DUTIES
LADIES BARREL RACING|C394C| 17. SMITH DANA (PERF # 1)|CRA|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|J1389C| 1. WRIGHT MADISON (PERF # 2)|LETHBRIDGE, AB|TIMER DUTIES
LADIES BARREL RACING|L7490| 2. LYNN KAYLA (PERF # 2)|BOW ISLAND, AB|TIMER DUTIES
LADIES BARREL RACING|J7299C| 3. WALDNER MEGAN (PERF # 2)|BOWLSLAND, AB|
LADIES BARREL RACING|L7466| 4. SKOCDOPOLE DIANE (PERF # 2)|BIG VALLEY, AB|
LADIES BARREL RACING|L5256C| 5. MAYNES KERRY (PERF # 2)|MAPLE CREEK, SK|
LADIES BARREL RACING|P7434C| 6. WESTON WHITNEY (PERF # 2)|CARDSTON, AB|
LADIES BARREL RACING|C7322C| 7. BOWYER DELLA (PERF # 2)|CRA|
LADIES BARREL RACING|R11611| 8. SHIELDS RYLEE (PERF # 2)|CPRA|
LADIES BARREL RACING|R24183| 9. SHIELDS SIERRA (PERF # 2)|CPRA|
LADIES BARREL RACING|R25195| 10. SHIELDS TAYLOR (PERF # 2)|CPRA|
LADIES BARREL RACING|R11612| 11. SHIELDS SHELLY (PERF # 2)|CPRA|
LADIES BARREL RACING|C6614C| 12. CHAPMAN ASHLEY (PERF # 2)|CRA|
LADIES BARREL RACING|C6735| 13. HALVORSON MONTANA (PERF # 2)|TABER, AB|
LADIES BARREL RACING|C3584C| 14. KATHREIN MICHELE (PERF # 2)|CRA|
LADIES BARREL RACING|C8038C| 15. MACDONALD ANGIE (PERF # 2)|CRA|
LADIES BARREL RACING|C2472C| 16. BIRLIE ALIX (PERF # 2)|CRA|TIMER DUTIES
LADIES BARREL RACING|R038| 17. MCINTYRE JAMIE (PERF # 2)|GCPR|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7450C| 1. ELLIS KATELYN (PERF # 3)|SONNINGDALE, SK|TIMER DUTIES
LADIES BARREL RACING|L5497C| 2. SWITZER BAILEE (PERF # 3)|ANEROID, SK|TIMER DUTIES
LADIES BARREL RACING|L6390C| 3. ZUNTI TWILA (PERF # 3)|UNITY, SK|
LADIES BARREL RACING|L6378C| 4. THIESSEN MELISSA (PERF # 3)|STETTLER, AB|
LADIES BARREL RACING|L5402C| 5. HOOVER JACQUELINE (PERF # 3)|VANSCOY, SK |
LADIES BARREL RACING|J1506C| 6. WILLIAMSON KASSIDY (PERF # 3)|MANKOTA, SK|
LADIES BARREL RACING|L7489| 7. MACKIE KYLIE (PERF # 3)|MAPLE CREEK, SK|
LADIES BARREL RACING|L7513| 8. LAWRENCE CHRISTA (PERF # 3)|MAPLE CREEK, SK|
LADIES BARREL RACING|L5955C| 9. GROVES LISA (PERF # 3)|CZAR, AB|
LADIES BARREL RACING|L6830C| 10. HANSON ALEX (PERF # 3)|MEDICINE HAT, AB|BARREL REP
LADIES BARREL RACING|R1023C| 11. MILLARD DENA (PERF # 3)|CPRA|
LADIES BARREL RACING|L7509| 12. MILLARD TANA (PERF # 3)|RED DEER COUNTY, AB|
LADIES BARREL RACING|P7496| 13. BARR BRITTNEY (PERF # 3)|PINCHER CREEK, AB|
LADIES BARREL RACING|L7129C| 14. KIELSTRA CHRISSY (PERF # 3)|BURDETT, AB|
LADIES BARREL RACING|C2943C| 15. BRIDGEMAN CHRISTY (PERF # 3)|CRA|
LADIES BARREL RACING|C2169| 16. STAHL LORI (PERF # 3)|CRA|
LADIES BARREL RACING|C6498C| 17. KNUDSEN RAE-ANN (PERF # 3)|CRA|
LADIES BARREL RACING|C6546C| 18. KNUDSEN DEBBIE (PERF # 3)|CRA|
LADIES BARREL RACING|C6907C| 19. SINE LEANNE (PERF # 3)|CRA|
LADIES BARREL RACING|C3586C| 20. BEACH LINDSAY (PERF # 3)|CRA|
LADIES BARREL RACING|C6620C| 21. GETZ JEN (PERF # 3)|CRA|
LADIES BARREL RACING|C2513C| 22. MARSHALL TRINA (PERF # 3)|CRA|
LADIES BARREL RACING|C7064C| 23. URASAKI CINDY (PERF # 3)|CRA|
LADIES BARREL RACING|C2626C| 24. SEITZ KASHLEY (PERF # 3)|CRA|
LADIES BARREL RACING|C2613C| 25. HAMILTON TAMMY (PERF # 3)|CRA|
LADIES BARREL RACING|C2299C| 26. OLIVIER DALLIS (PERF # 3)|CRA|
LADIES BARREL RACING|C2605C| 27. COYNE CHARLENE (PERF # 3)|CRA|
LADIES BARREL RACING|L7499| 28. VANBUSKIRK SHANNON (PERF # 3)|MANYBERRIES, AB|
LADIES BARREL RACING|C6679C| 29. VANBUSKIRK JESSICA (PERF # 3)|CRA|
LADIES BARREL RACING|C2515C| 30. BRODERSON AMBER (PERF # 3)|CRA|
LADIES BARREL RACING|C5551| 31. OLSTAD CARLA (PERF # 3)|CRA|
LADIES BARREL RACING|LOC6565| 32. BRECHT ALYSSA (PERF # 3)|MILK RIVER|
LADIES BARREL RACING|L3858C| 33. KMITA NICOLE (PERF # 3)|WEYBURN, SK|TIMER DUTIES
LADIES BARREL RACING|R11727| 34. FINNERTY AMY (PERF # 3)|CPRA|TIMER DUTIES
TEAM ROPING||PERFORMANCE: 1||
TEAM ROPING|| ||
TEAM ROPING|C6617C| 1. SCHMIDT DALE(H) (PERF # 1)|CRA|
TEAM ROPING|C123|    SCHMIDT LOUIS(F) (PERF # 1)|CRA|
TEAM ROPING|C6956C| 2. MINUE ARLAN(F) (PERF # 1)|CRA|
TEAM ROPING|C6362C|    SHEARER JENA(H) (PERF # 1)|CRA|
TEAM ROPING|6101C| 3. TRAUTMAN MICHAEL(H) (PERF # 1)|LETHBRIDGE AB|
TEAM ROPING|C126C|    NEWTON DAVE(F) (PERF # 1)|DEL BONITA AB|
TEAM ROPING|7099C| 4. PANCOAST JARED(F) (PERF # 1)|REDCLIFF, AB|
TEAM ROPING|6555|    PEROZAK MACE(H) (PERF # 1)|CLARESHOLM, AB|
TEAM ROPING|7479| 5. HAIG ROB(H) (PERF # 1)|MEDICINE HAT, AB|
TEAM ROPING|6685C|    NEWTON BLAKE(F) (PERF # 1)|DEL BONITA, AB|
TEAM ROPING|5860C| 6. STORY GARETT (H) (PERF # 1)|NETHERHILL SK|
TEAM ROPING|C6412|    MCKENZIE JONATHAN(F) (PERF # 1)|CRA|
TEAM ROPING|C7061C| 7. HOLLYWOOD COLIN(H) (PERF # 1)|CRA|
TEAM ROPING|C826C|    DOLGOPOL SHANE(F) (PERF # 1)|IRVINE, AB|
TEAM ROPING|5270C| 8. CHAPPEL BRADY(F) (PERF # 1)|MOOSE JAW, SK   |
TEAM ROPING|5566C|    CHAPPEL KYLE(H) (PERF # 1)|GRAVELBOURG, SK |
TEAM ROPING|7283C| 9. HICKS TYRELL(H) (PERF # 1)|MORTLACH, SK|
TEAM ROPING|6328C|    GOODWIN REID(F) (PERF # 1)|PARRY, SK                     |
TEAM ROPING|C6289C| 10. O'DONNELL CODY(F) (PERF # 1)|CRA|
TEAM ROPING|C6834C|    O'DONNELL DUSTIN(H) (PERF # 1)|CRA|
TEAM ROPING|6272C| 11. KELLETT TRAVIS(H) (PERF # 1)|PICTURE BUTTE, AB|
TEAM ROPING|C393C|    SMITH MIKE(F) (PERF # 1)|CRA|
TEAM ROPING||PERFORMANCE: 2||
TEAM ROPING|| ||
TEAM ROPING|5335C| 1. KRAFT DALTON(H) (PERF # 2)|IRVINE, AB|
TEAM ROPING|6448|    TUNKE TRENT(F) (PERF # 2)|MEDICINE HAT, AB|
TEAM ROPING|C2332C| 2. HEGGIE JEFF(H) (PERF # 2)|CARDSTON AB|
TEAM ROPING|C2448C|    HEGGIE JUSTIN(F) (PERF # 2)|CARDSTON AB|
TEAM ROPING|C1709| 3. POWELSON MIKE(H) (PERF # 2)|CRA|
TEAM ROPING|C6859|    SIEMENS SCOTT(F) (PERF # 2)|CRA|
TEAM ROPING|R330789| 4. MELBY COLTON(H) (PERF # 2)|CPRA|
TEAM ROPING|R332262|    FALCONER LUCAS(F) (PERF # 2)|CPRA|
TEAM ROPING|C2543C| 5. BOWYER MONTY(H) (PERF # 2)|CRA|
