OFFICIAL DRAW FOR SWAN RIVER
Performance: 1. Friday 29 @ 1:00PM
Performance: 2. Saturday 30 @ 1:00PM
Performance: 3. Sunday 31 @ 1:00PM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
TIE DOWN ROPING|5298C| 9. FOLK KEITH (PERF # 1)|SWIFT CURRENT SK|
TIE DOWN ROPING|5019C| 10. GETZ CODY (PERF # 1)|BALGONIE, SK|
TIE DOWN ROPING|5020C| 11. GETZ TYLER (PERF # 1)|LUCKY LAKE, SK|
TIE DOWN ROPING|3948C| 12. BEVAN CAREY (PERF # 1)|CARIEVALE SK|
TIE DOWN ROPING||PERFORMANCE: 2||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|5373C| 1. RADKE CLINT (PERF # 2)|MARYFIELD, SK|
TIE DOWN ROPING|6510C| 2. MCLEOD TUFTIN (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|M2349C| 3. GLOVER BRYCE (PERF # 2)|MRCA|
TIE DOWN ROPING|6933C| 4. SMITH LAYNE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|7532| 5. MITCHELL COLE (PERF # 2)|OAK LAKE, MB|
TIE DOWN ROPING|M1492C| 6. RUSK RYAN (PERF # 2)|MRCA|
TIE DOWN ROPING|6857C| 7. MCLEOD TYCE (PERF # 2)|WALDECK, SK|
TIE DOWN ROPING|M1981C| 8. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
TIE DOWN ROPING||PERFORMANCE: 3||
TIE DOWN ROPING|| ||
TIE DOWN ROPING|M2721J| 1. SALMON TYSON (PERF # 3)|STONEWALL, MB|
TIE DOWN ROPING|M2109C| 2. BEAR CHARLIE (PERF # 3)|MRCA|
TIE DOWN ROPING|5483C| 3. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
TIE DOWN ROPING|M1321C| 4. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|6670C| 1. RUTTEN TANNER (PERF # 1)|REDVERS, SK|
STEER WRESTLING|7419| 2. WHEELER GEORGE (PERF # 1)|DAVIDSON SK|
STEER WRESTLING|6278C| 3. SPARROW JARED (PERF # 1)|NORTH BATTLEFORD SK|
STEER WRESTLING|7248C| 4. HAYES RILEY (PERF # 1)|VAL MARIE, SK|
STEER WRESTLING|7169C| 5. BRIGDEN AVERY (PERF # 1)|SOURIS, MB|
STEER WRESTLING|6347C| 6. SCHROEDER LEIGHTON (PERF # 1)|SOURIS, MB|
STEER WRESTLING|1561C| 7. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|6645C| 8. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|5957C| 9. HANTELMAN CHAD (PERF # 1)|KYLE, SK|
STEER WRESTLING|5942C| 10. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|6559C| 1. HARRIS SCOTT (PERF # 2)|STONEWALL, MB|
STEER WRESTLING|7383C| 2. KELLY CLINT (PERF # 2)|BRANDON, MB|
STEER WRESTLING|7086C| 3. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|
STEER WRESTLING|M1210C| 4. HAGAN ALISTAIR (PERF # 2)|VIRDEN MB|
STEER WRESTLING|M1981C| 5. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|J7436| 1. MCMAHON BRYCE (PERF # 3)|INWOOD, MB|
STEER WRESTLING|M1321C| 2. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING|M2559C| 3. LEE AARON (PERF # 3)|MRCA|
STEER WRESTLING|3636C| 4. MCPHEE BRIAN (PERF # 3)|HANLEY SK|
STEER WRESTLING|5483C| 5. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|5423C| 6. MORRIS REGAN (PERF # 3)|REGINA, SK   |
STEER WRESTLING|7264C| 7. PETTYJOHN TY (PERF # 3)|GARLAND, MB|
STEER WRESTLING|1705C| 8. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7277C| 1. MOFFATT SHERRI (PERF # 1)|MOOSOMIN, SK|TIMER DUTIES
LADIES BARREL RACING|L7278C| 2. CROSSLEY JACEY (PERF # 1)|MOOSOMIN, SK|TIMER DUTIES
LADIES BARREL RACING|L6807C| 3. LANZ KARLY (PERF # 1)|CARIEVALE, SK|
LADIES BARREL RACING|L7343C| 4. COLLEN ANN (PERF # 1)|VIRDEN, MB|BARREL REP
LADIES BARREL RACING|L6830C| 5. HANSON ALEX (PERF # 1)|MEDICINE HAT, AB|
LADIES BARREL RACING|L7421C| 6. ROOD MEAGHAN (PERF # 1)|BENGOUGH, SK|
LADIES BARREL RACING|L5584C| 7. SWITZER BARBARA (PERF # 1)|HAZENMORE, SK|
LADIES BARREL RACING|L7432| 8. NAYLEN NANCY (PERF # 1)|MARYFIELD, SK|
LADIES BARREL RACING|M1924C| 9. MCCANNELL BAILEY (PERF # 1)|MRCA|TIMER DUTIES
LADIES BARREL RACING|M1834C| 10. MCCANNELL SHAYNA (PERF # 1)|MRCA|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|M2802C| 1. YOUNG BECKY (PERF # 2)|MRCA|TIMER DUTIES
LADIES BARREL RACING|M2512C| 2. PLETT CARRIE-ANN  (PERF # 2)|GRUNTHAL, MB|TIMER DUTIES
LADIES BARREL RACING|L6390C| 3. ZUNTI TWILA (PERF # 2)|UNITY, SK|
LADIES BARREL RACING|L6378C| 4. THIESSEN MELISSA (PERF # 2)|STETTLER, AB|
LADIES BARREL RACING|M2757| 5. POTVIN JENNA (PERF # 2)|MRCA|
LADIES BARREL RACING|M1714C| 6. HAGAN ERIN (PERF # 2)|VIRDEN MB|
LADIES BARREL RACING|L6820C| 7. STOKES LAURA (PERF # 2)|AUSTIN, MB|
LADIES BARREL RACING|J7441| 8. PLETT LEANNE (PERF # 2)|GRUNTHAL, MB|
LADIES BARREL RACING|L5293C| 9. DENBROK TRACI  (PERF # 2)|ESTERHAZY, SK|TIMER DUTIES
LADIES BARREL RACING|L7083C| 10. PETERS SAMANTHA (PERF # 2)|PLUMAS MB|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|M2752C| 1. BEAR SHASTA (PERF # 3)|MRCA|TIMER DUTIES
LADIES BARREL RACING|M2063C| 2. CROSSLEY CHLOE (PERF # 3)|MRCA|TIMER DUTIES
LADIES BARREL RACING|M2688C| 3. KLIPPENSTINE TANNIS (PERF # 3)|MRCA|
LADIES BARREL RACING|M2885| 4. BROWN ROBYN (PERF # 3)|MRCA|
LADIES BARREL RACING|M2742C| 5. ELLISON MEGAN (PERF # 3)|REDVERS, SK|TIMER DUTIES
LADIES BARREL RACING|L7447| 6. FROESE TORIE (PERF # 3)|BIENFAIT, SK|TIMER DUTIES
TEAM ROPING||PERFORMANCE: 1||
TEAM ROPING|| ||
TEAM ROPING|7248C| 1. HAYES RILEY(H) (PERF # 1)|VAL MARIE, SK|
TEAM ROPING|6452C|    OSTRANDER AJ(F) (PERF # 1)|SWIFT CURRENT, SK|
TEAM ROPING|7296C| 2. PATON TY(H) (PERF # 1)|CARNDUFF, SK|
