OFFICIAL DRAW FOR WHITEWOOD, SK
Performance: 1. Friday 12 @ 7:00PM
Performance: 2. Saturday 13 @ 7:00PM
Performance: 3. Saturday 13 @ 8:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
TIE DOWN ROPING|5373C| 16. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
STEER WRESTLING||PERFORMANCE: 1||
STEER WRESTLING|| ||
STEER WRESTLING|6278C| 1. SPARROW JARED (PERF # 1)|NORTH BATTLEFORD SK|
STEER WRESTLING|7419| 2. WHEELER GEORGE (PERF # 1)|DAVIDSON SK|
STEER WRESTLING|5942C| 3. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING|6835C| 4. BROWN ORY (PERF # 1)|LENORE, MB|
STEER WRESTLING|1561C| 5. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|M2559C| 6. LEE AARON (PERF # 1)|MRCA|
STEER WRESTLING|6645C| 7. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|3636C| 8. MCPHEE BRIAN (PERF # 1)|HANLEY SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|7380C| 1. SIEBOLD ADAM (PERF # 2)|KELVINGTON, SK|
STEER WRESTLING|7253C| 2. MCLEOD TEE (PERF # 2)|WALDECK, SK|
STEER WRESTLING|7086C| 3. POTVIN ANTHONY (PERF # 2)|AUSTIN, MB|
STEER WRESTLING|6347C| 4. SCHROEDER LEIGHTON (PERF # 2)|SOURIS, MB|
STEER WRESTLING|7383C| 5. KELLY CLINT (PERF # 2)|BRANDON, MB|
STEER WRESTLING|7264C| 6. PETTYJOHN TY (PERF # 2)|GARLAND, MB|
STEER WRESTLING|6559C| 7. HARRIS SCOTT (PERF # 2)|STONEWALL, MB|
STEER WRESTLING|7169C| 8. BRIGDEN AVERY (PERF # 2)|SOURIS, MB|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|7248C| 1. HAYES RILEY (PERF # 3)|VAL MARIE, SK|
STEER WRESTLING|M1981C| 2. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
STEER WRESTLING|5483C| 3. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|M1321C| 4. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING|6670C| 5. RUTTEN TANNER (PERF # 3)|REDVERS, SK|
STEER WRESTLING|6098C| 6. TOBER DANIEL (PERF # 3)|OXBOW SK|
STEER WRESTLING|5006C| 7. MORRIS IAN (PERF # 3)|FORT QU'APPELLE SK|
STEER WRESTLING|1705C| 8. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
STEER WRESTLING|M1210C| 9. HAGAN ALISTAIR (PERF # 3)|VIRDEN MB|
STEER WRESTLING|M2705JC| 10. ALLAN CLAY (PERF # 3)|MRCA|
STEER WRESTLING|5423C| 11. MORRIS REGAN (PERF # 3)|REGINA, SK   |
STEER WRESTLING|M1879C| 12. COWEN STEVEN (PERF # 3)|MRCA|
STEER WRESTLING|M2072C| 13. KING JOE (PERF # 3)|VIRDEN, MB|
STEER WRESTLING|5957C| 14. HANTELMAN CHAD (PERF # 3)|KYLE, SK|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L3802C| 1. DUNHAM SHEENA (PERF # 1)|SOURIS, MB|TIMER DUTIES
LADIES BARREL RACING|J1598C| 2. MCCANNELL HALLIE (PERF # 1)|CARIEVALE, SK|TIMER DUTIES
LADIES BARREL RACING|P6662C| 3. MCDERMIT SHAYANA (PERF # 1)|SOUTHEY, SK|
LADIES BARREL RACING|L5497C| 4. SWITZER BAILEE (PERF # 1)|ANEROID, SK|
LADIES BARREL RACING|L7427| 5. YARSHENKO MARDI (PERF # 1)|MAPLE CREEK SK|
LADIES BARREL RACING|L6718C| 6. SLADE LARAMIE (PERF # 1)|LESTOCK, SK|
LADIES BARREL RACING|L7303C| 7. POLETZ LIANE (PERF # 1)|DUCHESS, AB|
LADIES BARREL RACING|J1671C| 8. SLADE CALONNA (PERF # 1)|NANTON, AB|
LADIES BARREL RACING|L7421C| 9. ROOD MEAGHAN (PERF # 1)|BENGOUGH, SK|
LADIES BARREL RACING|L7278C| 10. CROSSLEY JACEY (PERF # 1)|MOOSOMIN, SK|BARREL REP
LADIES BARREL RACING|M2465| 11. EDWARDS MEGAN (PERF # 1)|MRCA|TIMER DUTIES
LADIES BARREL RACING|J1653C| 12. CLEVELAND ASHLEY         (PERF # 1)|BENGOUGH, SK|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L5127| 1. GOEBEL DAWN (PERF # 2)|GRENFELL, SK|TIMER DUTIES
LADIES BARREL RACING|L7463| 2. BUNNEY JENN (PERF # 2)|BYEMOOR, AB|TIMER DUTIES
LADIES BARREL RACING|L5293C| 3. DENBROK TRACI  (PERF # 2)|ESTERHAZY, SK|
LADIES BARREL RACING|L7509| 4. MILLARD TANA (PERF # 2)|RED DEER COUNTY, AB|
LADIES BARREL RACING|M2688C| 5. KLIPPENSTINE TANNIS (PERF # 2)|MRCA|
LADIES BARREL RACING|M2757C| 6. POTVIN JENNA (PERF # 2)|MRCA|
LADIES BARREL RACING|CP7016C| 7. FRANCIS MARNIE (PERF # 2)|CRAVEN, SK|
LADIES BARREL RACING|L6374C| 8. MASTAD ANGELA (PERF # 2)|PLEASANTDALE, SK|
LADIES BARREL RACING|L7277C| 9. MOFFATT SHERRI (PERF # 2)|MOOSOMIN, SK|
LADIES BARREL RACING|L7325C| 10. OLAFSON BERTINA (PERF # 2)|HUDSON BAY, SK|
LADIES BARREL RACING|L5516C| 11. VANDERSTEEN DAWN (PERF # 2)|LANGRUTH, MB|TIMER DUTIES
LADIES BARREL RACING|L6390C| 12. ZUNTI TWILA (PERF # 2)|UNITY, SK|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7343C| 1. COLLEN ANN (PERF # 3)|VIRDEN, MB|TIMER DUTIES
LADIES BARREL RACING|LOC6703| 2. BIERBACH TANYA (PERF # 3)|WHI|TIMER DUTIES
LADIES BARREL RACING|M1714C| 3. HAGAN ERIN (PERF # 3)|VIRDEN MB|
LADIES BARREL RACING|L6807C| 4. LANZ KARLY (PERF # 3)|CARIEVALE, SK|
LADIES BARREL RACING|M1799C| 5. COWAN KATIE (PERF # 3)|MRCA                         |
